"year_b","id_i","weight_d","respondent_age_o","respondent_education_level_o","in_the_workforce_b","household_income_quintile_o","main_source_emergency_funds_c","has_account_b","has_financial_institution_account_b","has_mobile_money_account_b","made_or_received_digital_payment_b","received_government_pension_b","received_government_transfers_c","received_government_pension_payment_c","used_phone_for_finance_b","owns_mobile_phone_b","saved_in_past_year_b","any_deposit_into_account_b","any_withdrawal_from_account_b","reason_no_account_c","borrowed_in_the_past_year_c"
2017,342,0.9570987792517449,31,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,NA,1
2017,343,0.2860514716047312,43,2,1,4,0,1,1,0,1,0,0,0,1,1,1,1,1,NA,2
2017,345,0.7138445515771589,31,2,1,1,2,1,1,1,1,0,1,0,1,1,0,1,1,NA,0
2017,346,1.0496056574048014,27,2,1,4,3,1,1,1,1,0,1,0,1,1,1,1,1,NA,1
2017,347,1.1774564932445721,30,1,1,2,0,1,1,1,1,0,3,0,1,1,0,1,1,NA,0
2017,348,0.925079605721244,70,1,0,4,0,1,1,0,1,1,1,1,0,1,1,1,1,NA,0
2017,353,1.535206386546923,45,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,NA,1
2017,354,0.2860514716047312,50,2,0,4,1,1,1,0,1,1,1,1,0,1,1,1,1,NA,0
2017,357,0.9317940422366628,31,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,NA,3
2017,359,2.494915477408685,16,1,0,4,3,1,1,1,1,0,0,0,NA,1,1,1,0,NA,0
2017,360,0.3924854977481907,39,1,0,3,0,1,1,0,1,0,1,0,0,1,0,1,1,NA,1
2017,361,2.326569033971238,21,1,0,2,2,1,1,1,1,0,0,0,1,1,1,0,1,NA,0
2017,362,0.2860514716047312,44,0,1,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,0,1
2017,363,1.850159211442488,50,1,1,3,0,1,1,1,1,0,0,0,1,1,0,1,1,NA,1
